// vertical screen warp
-1000
4000
// players
977.0, 600.0
294.0, 161.0
// borders/platforms
817, 518, 936, 535, 255, 255, 255, 255, 
811, 512, 942, 541, 255, 255, 255, 255, 
979, 509, 989, 556, 255, 255, 255, 255, 
973, 503, 995, 562, 255, 255, 255, 255, 
591, 487, 741, 501, 255, 255, 255, 255, 
585, 481, 747, 507, 255, 255, 255, 255, 
382, 449, 560, 470, 255, 255, 255, 255, 
376, 443, 566, 476, 255, 255, 255, 255, 
1057, 436, 1109, 593, 255, 255, 255, 255, 
347, 432, 358, 561, 255, 255, 255, 255, 
762, 264, 935, 295, 255, 255, 255, 255, 
756, 258, 941, 301, 255, 255, 255, 255, 
1056, 244, 1108, 256, 255, 255, 255, 255, 
552, 224, 725, 245, 255, 255, 255, 255, 
546, 218, 731, 251, 255, 255, 255, 255, 
359, 186, 522, 204, 255, 255, 255, 255, 
298, 162, 311, 211, 255, 255, 255, 255, 
292, 156, 317, 217, 255, 255, 255, 255, 
358, 151, 368, 181, 255, 255, 255, 255, 
210, 139, 251, 610, 255, 255, 255, 255, 
1057, 135, 1109, 239, 255, 255, 255, 255, 
// Enemies
